PVC COLOR;TIPO;MATERIAL;PRECIO
PVC BLANCO;Perfil;MARCO CORREDIZO S80 4,5 CM;Q87.00
PVC BLANCO;Perfil;HOJA CORREDIZA S60 5,5 CM;Q59.00
PVC BLANCO;Perfil;HOJA CORREDIZA S60 6,6 CM;Q82.00
PVC BLANCO;Perfil;BATIENTE CORREDIZO;Q20.00
PVC BLANCO;Perfil;HOJA CEDAZO;Q44.00
PVC BLANCO;Perfil;TAPAJAMBA;Q20.00
PVC BLANCO;Perfil;MARCO FIJO;Q95.00
PVC BLANCO;Perfil;BATIENTE PARA FIJO;Q28.00
PVC BLANCO;Perfil;HOJA PROYECTABLE;Q135.00
PVC BLANCO;Perfil;HOJA ANDINA;Q116.00
PVC BLANCO;Perfil;BATIENTE ANDINA;Q22.00
PVC BLANCO;Perfil;DUELA ANDINA;Q85.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;CAJA SELLADOR;Q375.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;RODOS;Q2.50
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;BISAGRAS ANDINA;Q23.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;ROLLO FELPA;Q255.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;BISAGRAS DE FRICCIÓN;Q17.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;MANIJA PROYECTABLE;Q19.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;ROLLO MAYA MOSQUITERO 1,50 MTS;Q287.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;ROLLO EMPAQUE MOSQUITERO;Q280.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;BISAGRA DE LUJO 8 AGUJEROS;Q24.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;BISAGRAS ABATIBLES;Q22.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;UNIDAD RODOS DE MOSQUITERO;Q1.68
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;CERROJO;Q10.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;CHAPA DE PIVOTE ;Q300.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;CHAPA DE MANECILLA;Q125.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;CHAPA INTERNA;Q45.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;CHAPA CON LLAVE;Q160.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;PASADORES OCULTOS;Q45.00
PVC BLANCO, PVC NOGAL CLARO,PVC NOGAL OSCURO, PVC NEGRO, PVC ROBLE;Accesorio;CREMONA 60 CM;Q35.00
PVC BLANCO;Perfil;HOJA DE LUJO ADENTRO O AFUERA;Q175.00
PVC BLANCO;Perfil;HOJA ABATIBLE;Q165.00
